<ανά>γνωστος|n28659
ἀκροχέριον|n3681
ἀκροχανής|n3672
ἀκροχείριον|n3676
ἀκροχείρισις|n3678
ἀκροχειρία|n3674
ἀκροχειρίζω|n3675
ἀκροχειρίς|n3677
ἀκροχειρισμός|n3679
ἀκροχερσίτης|n3682
ἀκροχηνίσκοι|n3683
ἀκροχλίαρος|n3684
ἀκροχολέω|n3685
ἀκροῦν|n3656
ἀκρυπτος|n3689
ἀκρωβέλια|n3692
ἀκρωλένιον|n3693
ἀκρωμία|n3694
ἀκρωμίς|n3695
ἀκρωνία|n3697
ἀκρωνυχία|n3698
ἀκρωρία|n3702
ἀκρωρεῖται|n3701
ἀκρωτήριον|n3709
ἀκρωτερῆσαι|n3704
ἀκρωτηρίασις|n3706
ἀκρωτηρίασμα|n3707
ἀκρωτηριάζω|n3705
ἀκρωτηριασμός|n3708
ἀκρωτηριώδης|n3710
ἀκρόαμα|n3505
ἀκρόασις|n3508
ἀκρόβασις|n3517
ἀκρόβατος|n3521
ἀκρόβλαστος|n3526
ἀκρόβολος|n3537
ἀκρόβυστος|n3541
ἀκρόδετος|n3546
ἀκρόδρυα|n3548
ἀκρόζεστος|n3549
ἀκρόζυμος|n3551
ἀκρόθεν|n3554
ἀκρόθι|n3555
ἀκρόκαρπος|n3560
ἀκρόκλαδος|n3564
ἀκρόκομος|n3567
ἀκρόλειον|n3573
ἀκρόλιθος|n3574
ἀκρόλινος|n3575
ἀκρόλοφος|n3580
ἀκρόμαλλος|n3582
ἀκρόνηον|n3592
ἀκρόνυκτος|n3596
ἀκρόνυχος1|@
ἀκρόνυχος2|@
ἀκρόνυχος|@
ἀκρόουλος|n3603
ἀκρόπαθος|n3605
ἀκρόπαστος|n3606
ἀκρόπηλος|n3609
ἀκρόπλοος|n3611
ἀκρόπολις|n3615
ἀκρόπους|n3622
ἀκρόπρῳρον|n3623
ἀκρόπτερον|n3624
ἀκρόπτολις|n3625
ἀκρόπυρος|n3627
ἀκρόσοφος|n3634
ἀκρόσπελλος|n3636
ἀκρόσφυρα|n3643
ἀκρότης|n3648
ἀκρότητος|n3649
ἀκρότομος|n3652
ἀκρότονος|n3653
ἀκρόφυλλον|n3668
ἀκρόφυλλος|n3669
ἀκρόχειρας|n3673
ἀκρόχειρον|n3680
ἀκρόχωλος|n3686
ἀκρόψιλος|n3687
ἀκρόψωλος|n3688
ἀκρύσταλλος|n3690
ἀκρώνυχος|n3699
ἀκρώρεια|n3700
ἀκρώσσει|n3703
ἀκρῶα|n3691
ἀκτάζω|n3711
ἀκτέα|n3716
ἀκτέανος|n3717
ἀκτέινος|n3718
ἀκτένιστος|n3719
ἀκτέον|n3721
ἀκτέος|n3722
ἀκτέριστος|n3725
ἀκτή1|@
ἀκτή2|@
ἀκτή|@
ἀκτήμων|n3731
ἀκτήν|n3732
ἀκτίνη|n3736
ἀκτίς|n3751
ἀκτίτης|n3753
ἀκταία|n3712
ἀκταίνω|n3714
ἀκταινόω|n3713
ἀκταῖος|n3715
ἀκτερέιστος|n3723
ἀκτερής|n3724
ἀκτεροί|n3726
ἀκτημοσύνη|n3730
ἀκτηρίς|n3733
ἀκτινείδωλον|n3735
ἀκτινηδόν|n3737
ἀκτινοβολέω|n3738
ἀκτινοβολία|n3739
ἀκτινοβόλος|n3740
ἀκτινογραφία|n3741
ἀκτινοειδής|n3742
ἀκτινοκράτωρ|n3743
ἀκτινοφόρος|n3745
ἀκτινοχαῖτις|n3746
ἀκτινωτός|n3748
ἀκτινώδης|n3747
ἀκτωρέω|n3757
ἀκτῆ3|n3729
ἀκτῆ|n3729
ἀκυβέρνητος|n3758
ἀκυητήριον|n3760
ἀκυθῶν|n3763
ἀκυλωτός|n3768
ἀκυντόν|n3775
ἀκυρής|n3776
ἀκυρία|n3777
ἀκυρολέκτητος|n3779
ἀκυρολεξία|n3780
ἀκυρολογέω|n3781
ἀκυρολογία|n3783
ἀκυρολόγητος|n3782
ἀκυροωσία|n3787
ἀκυρόεντα|n3778
ἀκυρότης|n3785
ἀκυρόω|n3786
ἀκυρόωσις|n3788
ἀκυρόωτος|n3789
ἀκχαλίβαρ|n3791
ἀκχός|n3792
ἀκωδώνιστος|n3793
ἀκωκή|n3794
ἀκωμῴδητος|n3799
ἀκόλακος|n3276
ἀκόλαστος|n3282
ἀκόλλητος|n3284
ἀκόλουθος|n3295
ἀκόλυμβος|n3298
ἀκόμιστος|n3300
ἀκόμμωτος|n3301
ἀκόμπαστος|n3303
ἀκόμψευτος|n3304
ἀκόνδυλος|n3308
ἀκόνη|n3309
ἀκόνησις|n3310
ἀκόνιον|n3317
ἀκόνιτον|n3320
ἀκόνιτος|n3321
ἀκόντιον|n3327
ἀκόντισις|n3329
ἀκόντισμα|n3330
ἀκόντως|n3340
ἀκόπριστος|n3347
ἀκόρεστος|n3351
ἀκόρετος|n3352
ἀκόρητος|n3354
ἀκόρυφος|n3362
ἀκόσμητος|n3368
ἀκόσμιος|n3370
ἀκόστιλα|n3374
ἀκύβευτος|n3759
ἀκύθηρος|n3761
ἀκύκητος|n3764
ἀκύκλιος|n3765
ἀκύλιστος|n3766
ἀκύμαντος|n3769
ἀκύματος|n3770
ἀκύμων1|@
ἀκύμων2|@
ἀκύμων|@
ἀκώλιστος|n3795
ἀκώλυτος|n3797
ἀκώμαστος|n3798
ἀκώνητος|n3802
ἀκᾶ|n2829
ἀκῆσκος|n3158
ἀλ<ε>ώσσω|n4065
ἀλάβαστος|n3808
ἀλάβαστρος|n3814
ἀλάβη|n3817
ἀλάβης|n3818
ἀλάβητοι|n3819
ἀλάθεια|n3832
ἀλάθητος|n3834
ἀλάκητον|n3837
ἀλάλαγμα|n3839
ἀλάλημαι|n3847
ἀλάλητος1|n3848
ἀλάλητος|n3848
ἀλάλυγξ|n3857
ἀλάμπετος|n3860
ἀλάομαι|n3864
ἀλάστορος|n3875
ἀλάστωρ|n3877
ἀλάτας|n3878
ἀλέα|n3915
ἀλέαντος|n3921
ἀλέασθαι|n3923
ἀλέγω|n3928
ἀλέκτορον|n3974
ἀλέκτωρ1|@
ἀλέκτωρ2|@
ἀλέκτωρ|@
ἀλέκω|n3989
ἀλέματος|n3991
ἀλέξανδρος|n3997
ἀλέξημα|n4001
ἀλέξησις|n4003
ἀλέξιον|n4016
ἀλέξω|n4019
ἀλέομαι|n4020
ἀλέπιστος|n4027
ἀλέρα|n4028
ἀλέτης|n4035
ἀλέω1|@
ἀλέω2|@
ἀλέω|@
ἀλήθεια|n4071
ἀλήθευσις|n4072
ἀλήθω|n4093
ἀλήιον|n4094
ἀλήμων|n4099
ἀλήπεδον|n4103
ἀλήπορον|n4104
ἀλήπτωρ|n4106
ἀλήστευτος|n4112
ἀλήτης|n4117
ἀλίασσις|n4148
ἀλίαστος|n4150
ἀλίβας|n4153
ἀλίβατος|n4154
ἀλίγκιος|n4164
ἀλίη|n4190
ἀλίθιος|n4196
ἀλίκμητος|n4203
ἀλίμενος|n4214
ἀλίνδα|n4224
ἀλίνδησις|n4227
ἀλίπαντος|n4241
ἀλίσβη|n4270
ἀλίσγημα|n4272
ἀλίστρα|n4285
ἀλίτημα|n4292
ἀλίτης|n4299
ἀλίφατα|n4319
ἀλαίνω|n3835
ἀλαβάρχης|n3805
ἀλαβάστιον|n3807
ἀλαβάστρινος|n3810
ἀλαβάστριον|n3811
ἀλαβαρχέω|n3804
ἀλαβαρχία|n3806
ἀλαβαστρίνη|n3809
ἀλαβαστρίτης|n3812
ἀλαβαστροειδής|n3813
ἀλαβαστροφόρος|n3815
ἀλαβαστρών|n3816
ἀλαβώδης|n3820
ἀλαζονίας|n3827
ἀλαζονεία|n3824
ἀλαζονεύομαι|n3826
ἀλαζονικός|n3828
ἀλαζονοχαυνοφλύαρος|n3829
ἀλαζοσύνη|n3830
ἀλαζόνευμα|n3825
ἀλαζών|n3831
ἀλαθείς|n3833
ἀλαιός|n3836
ἀλαλάζω|n3842
ἀλαλάω|n3845
ἀλαλή|n3846
ἀλαλία|n3850
ἀλαλαί|n3843
ἀλαλαγή|n3838
ἀλαλαγμός|n3840
ἀλαλατός|n3844
ἀλαλητός2|n3849
ἀλαλητός|n3849
ἀλαλκομένιος|n3854
ἀλαλκομενεύς|n3853
ἀλαλκομενηίς|n3852
ἀλαλκτήριον|n3855
ἀλαλύκτημαι|n3858
ἀλαλύσθαι|n3859
ἀλαμπής|n3861
ἀλαμπία|n3862
ἀλανές|n3863
ἀλαοσκοπιά|n3866
ἀλαοτόκος|n3867
ἀλαπάζω|n3870
ἀλαπαδνοσύνη|n3869
ἀλαπαδνός|n3868
ἀλασταίνω|n3873
ἀλαστορία|n3874
ἀλατρίας|n3885
ἀλαωπός|n3887
ἀλαωτύς|n3888
ἀλαός|n3865
ἀλαῶπις|n3886
ἀλβάριος|n3889
ἀλγέω|n3895
ἀλγίων|n3902
ἀλγεινός|n3891
ἀλγεσίδωρος|n3893
ἀλγεσίθυμος|n3894
ἀλγεόθυμος|n3892
ἀλγηδών|n3896
ἀλγηρός|n3898
ἀλγητέον|n3900
ἀλγινόεις|n3901
ἀλγυντήρ|n3905
ἀλγύνω|n3906
ἀλγᾷ|n3890
ἀλδήεις|n3910
ἀλδήμιος|n3911
ἀλδήσκω|n3912
ἀλδαίνω|n3907
ἀλδισκάνω|n3913
ἀλεάζω1|@
ἀλεάζω2|@
ἀλεάζω|@
ἀλεής|n3933
ἀλεία|n3935
ἀλείαντος|n3937
ἀλείατα|n3938
ἀλείπτης|n3946
ἀλείπτρια|n3950
ἀλείς|n3952
ἀλείτης|n3955
ἀλείφιον|n3963
ἀλείφω|n3965
ἀλείωτος|n3967
ἀλεαίνω|n3919
ἀλεαντικός|n3920
ἀλεβεβᾶν|n3924
ἀλεγίζω|n3926
ἀλεγεινός|n3925
ἀλεγύνω|n3927
ἀλεείνω|n3931
ἀλεεινός|n3930
ἀλειμμάτιον|n3940
ἀλειμματώδης|n3941
ἀλειπτέον|n3943
ἀλειπτήρ|n3944
ἀλειπτήριον|n3945
ἀλειπτικός|n3947
ἀλειπτός1|n3948
ἀλειπτός|n3948
ἀλειτεία|n3954
ἀλειτουργησία|n3956
ἀλειτούργητος|n3957
ἀλειφάς|n3960
ἀλειφατίτης|n3961
ἀλειφεύς|n3962
ἀλειφόβιος|n3964
ἀλεκινός|n3968
ἀλεκτορίς|n3972
ἀλεκτορίσκος|n3973
ἀλεκτοριδεύς|n3970
ἀλεκτοροφωνία|n3975
ἀλεκτρυονίς|n3981
ἀλεκτρυονοπώλης|n3982
ἀλεκτρυονοτρόφος|n3983
ἀλεκτρυονώδης|n3984
ἀλεκτρυοπώλιον|n3985
ἀλεκτρυόνειος|n3979
ἀλεκτρυόνιλον|n3980
ἀλεκτρυών|n3986
ἀλεκτρύαινα|n3978
ἀλεκτόρειος|n3969
ἀλεκτόριον|n3971
ἀλεξάνεμος|n4000
ἀλεξήνωρ|n4002
ἀλεξήτειρα|n4004
ἀλεξήτωρ|n4007
ἀλεξίγαμος|n4010
ἀλεξίκακος|n4011
ἀλεξίκηπος|n4012
ἀλεξίλογος|n4013
ἀλεξίμβροτος|n4014
ἀλεξίμορος|n4015
ἀλεξίχορος|n4018
ἀλεξαίθριος|n3993
ἀλεξανέμας|n3999
ἀλεξανδρίζω|n3994
ἀλεξανδριστής|n3995
ἀλεξανδροκόλαξ|n3996
ἀλεξανδρώδης|n3998
ἀλεξητήριος|n4005
ἀλεξητικός|n4006
ἀλεξιάρη|n4008
ἀλεξιβέλεμνος|n4009
ἀλεξιφάρμακος|n4017
ἀλεπίδωτος|n4026
ἀλεπαδνόν|n4025
ἀλεσμός|n4031
ἀλεσούριος|n4032
ἀλεστέον|n4033
ἀλετικός|n4036
ἀλετρίβανος|n4039
ἀλετρίς|n4040
ἀλετρεύω|n4038
ἀλετροπόδιον|n4041
ἀλετός|n4037
ἀλετών|n4042
ἀλετώρια|n4043
ἀλευρίτης|n4047
ἀλευροδοῦντες|n4048
ἀλευρομαντεῖον|n4050
ἀλευροποιέω|n4054
ἀλευροποιία|n4055
ἀλευρόκλεψ|n4049
ἀλευρόμαντις|n4051
ἀλευρόττησις|n4057
ἀλευρώδης|n4058
ἀλεφάτισον|n4061
ἀλεωρή|n4064
ἀλεός|n4021
ἀλεόσσω|n4022
ἀλεόφρων|n4024
ἀλεύκαντος|n4044
ἀλεύρειν|n4045
ἀλεύρινος|n4046
ἀλεύω|n4060
ἀλεῖν|n3942
ἀληθάργητος|n4070
ἀληθής|n4076
ἀληθευτής|n4073
ἀληθευτικός|n4074
ἀληθεύω|n4075
ἀληθικός|n4077
ἀληθινολογέω|n4078
ἀληθινολογία|n4079
ἀληθινοπόρφυρος|n4082
ἀληθινόν|n4080
ἀληθινόπινος|n4081
ἀληθινός|n4083
ἀληθιών|n4084
ἀληθοεπής|n4085
ἀληθομυθέω|n4087
ἀληθορκέω|n4089
ἀληθοσύνη|n4090
ἀληθουργής|n4092
ἀληθόμαντις|n4086
ἀληθόμυθος|n4088
ἀληθότης|n4091
ἀλημοσύνη|n4098
ἀλημώτων|n4100
ἀληνής|n4101
ἀλησία|n4109
ἀλησθύω|n4108
ἀλησμόνητος|n4111
ἀλητήρ|n4116
ἀλητεία|n4114
ἀλητεύω|n4115
ἀλητικός|n4118
ἀλητοειδής|n4119
ἀλητός1|@
ἀλητός2|@
ἀλητός|@
ἀλητύς|n4123
ἀλθήεις|n4131
ἀλθήσκω|n4132
ἀλθίσκον|n4133
ἀλθαία|n4125
ἀλθαίνω|n4126
ἀλθεστήρια|n4129
ἀλθεύς|n4130
ἀλθεῖναι|n4127
ἀλιβάνωτος|n4151
ἀλιγύγλωσσος|n4165
ἀλιετρόν|n4179
ἀλιθοκόλλητος|n4197
ἀλικύρκης|n4211
ἀλιμενία|n4213
ἀλιμενότης|n4215
ἀλιμενώτης|n4216
ἀλινδέω|n4225
ἀλινδήθρα|n4226
ἀλινδόν|n4228
ἀλιννόν|n4231
ἀλιπής|n4245
ἀλιπαής|n4242
ἀλισγέω|n4271
ἀλισθένειν|n4273
ἀλιστία|n4281
ἀλιτάνευτος|n4289
ἀλιτήμερος|n4293
ἀλιτήμων|n4295
ἀλιτήριος|n4296
ἀλιταίνω|n4288
ἀλιτημοσύνη|n4294
ἀλιτηριώδης|n4297
ἀλιτηρός|n4298
ἀλιτοφροσύνη|n4304
ἀλιτρέω|n4308
ἀλιτρία|n4309
ἀλιτραί|n4305
ἀλιτραίνω|n4306
ἀλιτροσύνη|n4313
ἀλιτρόβιος|n4310
ἀλιτρόνοος|n4311
ἀλιτρός|n4312
ἀλιτόκαρπον|n4301
ἀλιτόμηνος|n4302
ἀλιτόξενος|n4303
ἀλιχευτρίς|n4326
ἀλκάζω|n4329
ἀλκή1|n4335
ἀλκή|n4335
ἀλκήεις|n4337
ἀλκί|n4339
ἀλκίβιος|n4342
ἀλκίμαχος|n4343
ἀλκίφρων|n4346
ἀλκαία|n4330
ἀλκαικός|n4331
ἀλκαῖος|n4332
ἀλκηστής|n4338
ἀλκιβιάδειον|n4340
ἀλκιβιάδες|n4341
ἀλκιμόβριθος|n4344
ἀλκμανικός|n4348
ἀλκμαρές|n4349
ἀλκμαῖος|n4347
ἀλκτήρ|n4350
ἀλκτήριον|n4352
ἀλκτήριος|n4351
ἀλκυονίς|n4355
ἀλκυόνειον|n4353
ἀλκυόνειος|n4354
ἀλκυών|n4356
ἀλκᾶς|n4334
ἀλλά|n4357
ἀλλάγδην|n4358
ἀλλάθαρον|n4362
ἀλλάντιον|n4369
ἀλλάξ|n4374
ἀλλάξιμα|n4375
ἀλλάσσω|n4378
ἀλλήγορος|n4394
ἀλλήλων|n4430
ἀλλήναλλος|n4433
ἀλλαγή|n4359
ἀλλαγμός|n4361
ἀλλαθεάς|n4363
ἀλλακτέον|n4364
ἀλλακτικός|n4365
ἀλλακτός|n4366
ἀλλαμπᾶν|n4367
ἀλλανής|n4368
ἀλλαντοειδής|n4370
ἀλλαντοποιός|n4371
ἀλλαντοπωλέω|n4372
ἀλλαντοπώλης|n4373
ἀλλαττόλογος|n4379
ἀλλαχοῦ|n4385
ἀλλαχχᾷ|n4381
ἀλλαχόθεν|n4382
ἀλλαχόθι|n4383
ἀλλαχόσε|n4384
ἀλλαχῆ|n4380
ἀλλεπαλληλία|n4387
ἀλληγορέω|n4391
ἀλληγορία|n4392
ἀλληγορικός|n4393
ἀλληλάξαι|n4399
ἀλληλέγγυοι|n4401
ἀλληλίζω|n4402
ἀλληλανάδοχος|n4397
ἀλληλαϝεμία|n4398
ἀλληλεγγύη|n4400
ἀλληλοβόρος|n4403
ἀλληλογραφία|n4404
ἀλληλοδωδόται|n4405
ἀλληλοκληρονομία|n4406
ἀλληλοκτονέω|n4407
ἀλληλοκτονία|n4408
ἀλληλοκτόνος|n4409
ἀλληλομανδάτορες|n4410
ἀλληλομαχία|n4411
ἀλληλομισέω|n4412
ἀλληλοπάθεια|n4413
ἀλληλοτυπέω|n4414
ἀλληλοτυπία|n4415
ἀλληλουχέω|n4416
ἀλληλουχία|n4417
ἀλληλοφάγοι|n4421
ἀλληλοφαγέω|n4419
ἀλληλοφαγία|n4420
ἀλληλοφθονία|n4422
ἀλληλοφθορία|n4423
ἀλληλοφθόρος|n4424
ἀλληλοφιλέω|n4425
ἀλληλοφονία|n4427
ἀλληλοφυής|n4429
ἀλληλοφόνοι|n4428
ἀλληλοῦχοι|n4418
ἀλληλόφιλοι|n4426
ἀλλιτάνευτος|n4437
ἀλλοίωμα|n4472
ἀλλοίωσις|n4474
ἀλλογενής|n4439
ἀλλογλωσσία|n4440
ἀλλογνοέω|n4442
ἀλλογνώμων|n4443
ἀλλογνώς|n4444
ἀλλοδαπός|n4446
ἀλλοδημία|n4447
ἀλλοδοξέω|n4449
ἀλλοδοξία|n4450
ἀλλοεθνής|n4452
ἀλλοεθνία|n4453
ἀλλοειδής|n4454
ἀλλοινία|n4458
ἀλλοιοπροσωπέω|n4461
ἀλλοιοσχήμων|n4464
ἀλλοιοτροπέω|n4466
ἀλλοιοφανής|n4468
ἀλλοιωπός|n4473
ἀλλοιωτικός|n4475
ἀλλοιωτός|n4476
ἀλλοιόμορος|n4459
ἀλλοιόμορφος|n4460
ἀλλοιόστροφος|n4463
ἀλλοιότης|n4465
ἀλλοιότροπος|n4467
ἀλλοιόχροος|n4469
ἀλλοιόω|n4470
ἀλλοιώδης|n4471
ἀλλοκοτία|n4477
ἀλλομορφέω|n4480
ἀλλοπάθεια|n4483
ἀλλοπίας|n4486
ἀλλοπαθής|n4484
ἀλλοπειρίους|n4485
ἀλλοποιός|n4487
ἀλλοπολία|n4488
ἀλλοπρόσαλλος|n4489
ἀλλοτέρμων|n4494
ἀλλοτρίωσις|n4518
ἀλλοτριάζω|n4497
ἀλλοτριοεπίσκοπος|n4499
ἀλλοτριολογέω|n4500
ἀλλοτριολογία|n4501
ἀλλοτριομορφοδίαιτος|n4502
ἀλλοτριονομέω|n4503
ἀλλοτριοπράγμων|n4508
ἀλλοτριοπραγέω|n4504
ἀλλοτριοπραγία|n4505
ἀλλοτριοπραγμονέω|n4506
ἀλλοτριοπραγμοσύνη|n4507
ἀλλοτριοφάγος|n4513
ἀλλοτριοφαγέω|n4511
ἀλλοτριοφαγία|n4512
ἀλλοτριοφρονέω|n4514
ἀλλοτριόγνωμος|n4498
ἀλλοτριότης|n4510
ἀλλοτριόχρως|n4515
ἀλλοτριόχωρος|n4516
ἀλλοτριόω|n4517
ἀλλοτροπῆσαι|n4519
ἀλλοτύπωτος|n4521
ἀλλοφάσσω|n4524
ἀλλοφέρμονες|n4526
ἀλλοφανής|n4522
ἀλλοφρήτωρ|n4528
ἀλλοφρονέω|n4529
ἀλλοφροσύνη|n4530
ἀλλοφυής|n4532
ἀλλοφυλέω|n4533
ἀλλοφυλία|n4534
ἀλλοφυλισμός|n4535
ἀλλοφωνία|n4537
ἀλλοχροέω|n4539
ἀλλοῖος|n4462
ἀλλόγλωσσος|n4441
ἀλλόγνωτος|n4445
ἀλλόδημος|n4448
ἀλλόδοξος|n4451
ἀλλόθροος|n4457
ἀλλόκοτος|n4478
ἀλλόμορφος|n4481
ἀλλόμος|n4482
ἀλλότης|n4495
ἀλλότριος|n4509
ἀλλότροπος|n4520
ἀλλόφασ<σ>ις|n4523
ἀλλόφατος|n4525
ἀλλόφρων|n4531
ἀλλόφυλος|n4536
ἀλλόφωνος|n4538
ἀλλόχροια|n4540
ἀλλόχροος|n4541
ἀλλύεσκε|n4543
ἀλλύτας|n4545
ἀλλώνιος|n4547
ἀλλᾶς|n4377
ἀλλ᾽1|@
ἀλλ᾽2|@
ἀλλ᾽|@
ἀλλῆσαι|n4434
ἀλοάω|n4578
ἀλοίδορος|n4619
ἀλοίτης|n4625
ἀλοίω|n4630
ἀλοατός|n4577
ἀλογέω|n4582
ἀλογί|n4586
ἀλογία|n4587
ἀλογίζομαι|n4588
ἀλογίου|n4589
ἀλογίστευτος|n4590
ἀλογεύομαι|n4580
ἀλογητέον|n4584
ἀλογιστέω|n4591
ἀλογιστί|n4592
ἀλογιστία|n4593
ἀλογογράφητος|n4595
ἀλογοειδής|n4596
ἀλογοθέτητος|n4597
ἀλογομυῖα|n4598
ἀλογοπάθεια|n4600
ἀλογοπρεπῶς|n4601
ἀλογχεῖν|n4603
ἀλογόομαι|n4599
ἀλογώδης|n4606
ἀλοηδάριον|n4608
ἀλοησμός|n4610
ἀλοητέα|n4611
ἀλοητής|n4612
ἀλοητός|n4613
ἀλοιδόρητος|n4618
ἀλοιητήρ|n4620
ἀλοιμός|n4621
ἀλοιτήεσσαν|n4623
ἀλοιτεύειν|n4622
ἀλοιτηρός|n4624
ἀλοιφάω|n4627
ἀλοιφή|n4629
ἀλοιφαῖος|n4626
ἀλοιφεῖον|n4628
ἀλοκίζω|n4631
ἀλοπεύει|n4633
ἀλουσία|n4659
ἀλουτέω|n4660
ἀλουτία|n4661
ἀλουτιάω|n4662
ἀλσίνη|n4675
ἀλσείαν|n4672
ἀλσηίς|n4674
ἀλσοκομέω|n4679
ἀλσοκομική|n4681
ἀλσοκομικός|n4680
ἀλσοποιία|n4682
ἀλσώδης|n4684
ἀλσών|n4686
ἀλτεῖ|n4687
ἀλτρός|n4694
ἀλυκτάζω|n4702
ἀλυκτέω|n4703
ἀλυκτοπέδαι|n4704
ἀλυκτοσύνη|n4706
ἀλυκτρόν|n4707
ἀλυκτός|n4705
ἀλυπέω|n4711
ἀλυπία|n4713
ἀλυπιάς|n4714
ἀλυσθένεια|n4720
ἀλυσθαίνω|n4719
ἀλυσιτέλεια|n4727
ἀλυσιτελής|n4728
ἀλυσκάζω|n4729
ἀλυσμός|n4730
ἀλυσμώδης|n4731
ἀλυσπαθείη|n4732
ἀλυστάζω|n4736
ἀλυσταίνω|n4737
ἀλυστινόν|n4738
ἀλυστονέω|n4740
ἀλυτάρχης|n4742
ἀλυτίς|n4746
ἀλυταρχέω|n4741
ἀλυταρχία|n4743
ἀλυχή|n4751
ἀλφάβητος|n4755
ἀλφάδιον|n4757
ἀλφάνω|n4758
ἀλφάριον|n4759
ἀλφή|n4761
ἀλφίσκω|n4767
ἀλφαδεῖ|n4756
ἀλφεσίβοιος|n4760
ἀλφηστής|n4763
ἀλφηστικός|n4764
ἀλφινία|n4766
ἀλφιταμοιβός|n4768
ἀλφιτεία|n4769
ἀλφιτεύς|n4771
ἀλφιτεύω|n4772
ἀλφιτεῖον|n4770
ἀλφιτηδόν|n4773
ἀλφιτηρός|n4774
ἀλφιτισμός|n4775
ἀλφιτοειδής|n4776
ἀλφιτοποιέω|n4779
ἀλφιτοποιία|n4780
ἀλφιτοποιός|n4781
ἀλφιτοπωλήτρια|n4783
ἀλφιτοπωλικός|n4784
ἀλφιτοπώλης|n4782
ἀλφιτοσιτέω|n4785
ἀλφιτοσκόπος|n4786
ἀλφιτοφάγος|n4787
ἀλφιτόμαντις|n4777
ἀλφιτόχρως|n4788
ἀλφιτώ|n4789
ἀλφιῷος|n4790
ἀλφοειδής|n4791
ἀλφοπρόσωπος|n4792
ἀλφός|n4793
ἀλφώδης|n4794
ἀλχηρὴς|n4795
ἀλωή|n4799
ἀλωπέκειος|n4819
ἀλωπέκιον|n4826
ἀλωπέκουρος|n4829
ἀλωπεκέως|n4820
ἀλωπεκία|n4821
ἀλωπεκίας|n4822
ἀλωπεκίασις|n4823
ἀλωπεκίζω|n4825
ἀλωπεκίς|n4827
ἀλωπεκιδεύς|n4824
ἀλωπεκοειδής|n4828
ἀλωπεκώδης|n4830
ἀλωπεύει|n4831
ἀλωπός|n4833
ἀλωφούς|n4843
ἀλόγευτος|n4581
ἀλόγημα|n4583
ἀλόγητος|n4585
ἀλόγιστος|n4594
ἀλόη|n4607
ἀλόησις|n4609
ἀλόητρα|n4614
ἀλόπιστος|n4636
ἀλόχευτος|n4666
ἀλόω|n4668
ἀλύκη|n4696
ἀλύμαντος|n4709
ἀλύπητος|n4712
ἀλύσσω|n4735
ἀλύταται|n4744
ἀλύτης|n4745
ἀλύτρωτος|n4750
ἀλύω|n4753
ἀλώβητος|n4797
ἀλώπηξ|n4832
ἀλώφητος|n4842
ἀλἥιον|n4095
ἀμάδις|n4848
ἀμάθητος|n4859
ἀμάκιον|n4866
ἀμάλακτος|n4872
ἀμάλη|n4876
ἀμάλθακτος|n4878
ἀμάλθεια|n4879
ἀμάλιος|n4882
ἀμάλλιον|n4887
ἀμάντευτος|n4905
ἀμάρα|n4943
ἀμάρακον|n4945
ἀμάραντος|n4948
ἀμάρευμα|n4952
ἀμάριος|n4957
ἀμάρτυρος|n4972
ἀμάρυγμα|n4979
ἀμάσητος|n4983
ἀμάστικτος|n4985
ἀμάστρευτος|n4986
ἀμάτα|n4989
ἀμάτωρ|n4994
ἀμάχαιρος|n5004
ἀμάχετος|n5006
ἀμάχητος|n5008
ἀμάω1|@
ἀμάω2|@
ἀμάω|@
ἀμέγαρτος|n5090
ἀμέθεκτος|n5092
ἀμέθελκτος|n5093
ἀμέθοδος|n5097
ἀμέθυσον|n5098
ἀμέθυστος|n5100
ἀμέλαθρος|n5123
ἀμέλατον|n5124
ἀμέλγω|n5125
ἀμέλδειν|n5126
ἀμέλει|n5127
ἀμέλητος|n5137
ἀμέλλητος|n5143
ἀμένητος|n5156
ἀμέργω|n5159
ἀμέρδω|n5160
ἀμέρεια|n5161
ἀμέριμνος|n5167
ἀμέριστος|n5168
ἀμέρμερα|n5169
ἀμέτοιστος|n5213
ἀμέτοχος|n5215
ἀμέτριος|n5218
ἀμήν|n5235
ἀμήνας|n5236
ἀμήνιτος|n5238
ἀμήνυτος|n5239
ἀμήρυτος|n5242
ἀμήτωρ|n5250
ἀμήχανος|n5257
ἀμία1|@
ἀμία2|@
ἀμία|@
ἀμίαντος|n5262
ἀμίας|n5263
ἀμίδιον|n5266
ἀμίθιος|n5269
ἀμίλλακαν|n5275
ἀμίλλυκα|n5283
ἀμίλτωτος|n5284
ἀμίμητος|n5286
ἀμίς|n5292
ἀμίσαλλος|n5293
ἀμίσαρος|n5294
ἀμίσθωτος|n5300
ἀμίστυλλος|n5302
ἀμίτρωτος|n5307
ἀμαίευτος|n4864
ἀμαζακάραν|n4851
ἀμαζονομαχία|n4853
ἀμαζών|n4854
ἀμαθής|n4858
ἀμαθία|n4860
ἀμαθαίνω|n4855
ἀμαθεί|n4856
ἀμαθεῖν|n4857
ἀμαθύνω|n4862
ἀμαθώδης|n4863
ἀμαθῖτις|n4861
ἀμαιμάκετος|n4865
ἀμακρῶτις|n4868
ἀμαλάπτω|n4873
ἀμαλίζω|n4881
ἀμαλακία|n4870
ἀμαλακιστία|n4871
ἀμαλαυρεῖ|n4874
ἀμαλδύνω|n4875
ἀμαλητόμος|n4877
